iter	Passed	Remaining
0	396	3969583
1	811	4058167
2	1324	4414993
3	1882	4704181
4	2319	4635792
5	2778	4628799
6	3323	4744517
7	3721	4648546
8	4163	4621876
9	4547	4542499
10	5108	4638551
11	5538	4609813
12	5993	4604045
13	6524	4654017
14	7042	4687972
15	7414	4626715
16	7806	4584135
17	8238	4568807
18	8724	4582919
19	9121	4551750
20	9562	4543958
21	9944	4510472
22	10479	4545699
23	10880	4522545
24	11279	4500710
25	11712	4493093
26	12092	4466700
27	12504	4453516
28	12965	4457756
29	13363	4441006
30	13754	4423309
31	14235	4434458
32	14676	4432604
33	15117	4431252
34	15516	4417672
35	15942	4412616
36	16364	4406425
37	16745	4390059
38	17166	4384546
39	17551	4370298
40	17999	4372048
41	18484	4382688
42	18907	4378220
43	19412	4392474
44	19840	4389105
45	20242	4380405
46	20667	4376591
47	21072	4368944
48	21444	4355059
49	21892	4356538
50	22288	4348081
51	22726	4347664
52	23112	4337730
53	23516	4331456
54	23898	4321216
55	24307	4316354
56	24713	4311072
57	25127	4307282
58	25550	4305042
59	25925	4295056
60	26293	4284115
61	26658	4273094
62	27064	4268838
63	27520	4272565
64	27952	4272398
65	28390	4273195
66	28776	4266215
67	29153	4258068
68	29545	4252418
69	29929	4245741
70	30380	4248632
71	30761	4241655
72	31134	4233880
73	31485	4223349
74	31875	4218191
75	32256	4212020
76	32632	4205320
77	33013	4199436
78	33373	4191141
79	33826	4194481
80	34210	4189333
81	34595	4184333
82	34985	4180152
83	35391	4177826
84	35788	4174607
85	36174	4170154
86	36535	4162981
87	36952	4162196
88	37316	4155496
89	37680	4148988
90	38035	4141728
91	38431	4138942
92	38792	4132402
93	39219	4133117
94	39600	4128919
95	39970	4123596
96	40330	4117477
97	40703	4112736
98	41083	4108798
99	41476	4106172
100	41848	4101525
101	42237	4098657
102	42624	4095634
103	42987	4090451
104	43362	4086367
105	43710	4079899
106	44079	4075462
107	44482	4074244
108	44868	4071475
109	45267	4070004
